0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
14,-4280021.5,-386282.59375,-995620.9375,-3263566.0,-1713843.125,-867138.25,-73808.3046875,-1115661.25,-1566950.875,-1203853.5,-797202.9375,-1169104.75,-1341804.0,-1007600.3125,-24040.2421875,-584501.0625,-4826099.0,-831530.625,-500249.0,-508759.3125,-754297.625,-476175.5625,-786575.5625,-343506.65625,337012.53125,-425147.625,212557.5625,-340209.875,-212607.046875,163660.0625,-95674.5,-80972.984375,-482897.25,-1122933.25,89903.34375,25601.787109375,-403534.15625,-376765.5,-536284.3125,-625110.6875
15,-4618725.0,638968.125,-976377.0,-2218428.0,-1341503.875,-251438.171875,2197281.0,-379078.40625,-2059020.75,-815116.9375,-462243.8125,-26386.75,-3044026.0,-784617.75,-794730.5,3219387.75,-4434315.5,809902.4375,2231163.5,-1745484.75,1653949.125,-1189566.375,-879703.375,-300738.75,-1409400.375,-2148932.0,1783553.375,1688186.875,-1290875.375,-2614097.5,-1190134.375,825854.375,448534.21875,-2570161.0,-1982980.5,2675131.25,-964336.25,950174.1875,7159173.5,881645.625
16,-3981583.0,-971238.5,-394027.84375,-3796452.5,-2722921.0,-388374.8125,989365.8125,-236982.578125,-2970735.5,-1020840.125,-1186197.375,-201056.09375,-2345941.5,-1262276.25,-3512583.75,2183073.5,-3079719.25,475183.15625,1235511.25,-2136380.75,2981205.75,-430894.28125,-786836.8125,-238966.828125,-1793832.25,-693345.0625,1774992.0,1363120.0,-1246098.0,-3030343.75,-1260305.0,1092434.375,83705.8046875,1240783.75,-2329227.25,1488232.75,-2257918.75,-282206.15625,7862503.0,1230732.75
17,-4011710.0,-608739.1875,-1191644.25,-3318047.0,-2353707.5,-450097.125,955897.1875,-281642.125,-2690280.5,-1166606.125,-937406.375,-147298.953125,-3669255.25,-1178284.375,-1809690.5,2115920.5,-3187803.75,761402.125,1271031.25,-1821199.75,2214786.75,-1117852.875,-1044447.25,-642765.125,-2073987.375,-2308809.75,2204213.75,892376.3125,-1335512.75,-2819384.0,-1377470.0,813532.125,394076.6875,-1535072.625,-2311209.0,1750603.625,-1409681.375,964178.8125,7028543.5,1195624.125
18,-5916666.5,-549028.6875,41642.55859375,-3480251.75,-1978811.625,319084.15625,3652967.0,-221227.90625,-1947924.125,-515628.75,-370850.46875,-563891.875,-1450857.875,-1190995.25,-2673889.75,2008353.5,-5402687.0,559337.875,1643725.125,-1206420.375,3064582.5,-125076.5078125,-926109.1875,-367258.75,-3980.31640625,-420130.03125,1110650.125,1359427.125,-1546560.5,-2866249.0,-879721.3125,1040034.8125,-472278.4375,937553.9375,-2068954.75,1771611.625,-1892197.375,-184835.765625,7840755.5,543477.0625
19,-4014090.25,-828458.875,-987639.5,-5784351.5,-1376734.375,-737824.0,-119621.7734375,-706529.0625,-2068761.75,-959916.6875,-794063.125,-762117.875,-1329824.875,-1459311.5,-932313.75,-780382.9375,-4541089.5,-594446.3125,-445568.625,-957938.6875,218294.6875,-105572.1640625,-623174.25,-396530.15625,-162424.578125,-92563.734375,23626.20703125,33321.953125,-761203.875,-654560.4375,-73255.25,242527.09375,-497974.0,217995.828125,-456357.96875,10943.2705078125,-1176762.75,-489863.9375,900033.3125,-376056.5
20,-4803620.0,-186869.3125,371203.65625,-1858831.5,-888492.5,192975.625,3535905.0,152439.4375,-1517421.0,195989.421875,-108693.1875,-124042.2890625,-833516.375,-1216897.75,-1180841.0,1954486.875,-3842828.0,393980.84375,1778357.875,-1557955.0,2443416.75,-58990.421875,-778359.3125,471790.1875,862777.125,5990.18896484375,1043528.5625,1173944.5,-1086235.75,-1685622.625,-447964.625,1415595.0,-351744.40625,852397.875,-1764660.0,1588674.0,-1323066.0,-247047.796875,6985966.5,176658.859375
21,-1793303.75,-247448.765625,-1855275.75,-312977.15625,901595.8125,-1641788.75,-1422476.25,-1965084.625,243359.65625,-947011.125,-1095159.5,-1398157.0,164356.625,-1717082.25,1437985.5,-2782624.5,-1226572.125,-1349841.375,-2619339.0,-375838.53125,-2728925.75,-565819.875,-860618.4375,-1021031.6875,2174397.0,-269420.125,-1232518.75,-1764152.5,-326438.15625,1602376.5,1020730.9375,-1224342.75,-884492.6875,-4484278.0,1086634.75,-1131532.0,1200331.5,136087.96875,-7226871.0,-1278284.375
22,-2022471.0,-1561113.0,-853300.25,-4349446.0,-2284591.25,-1268287.5,-1808370.5,-626179.8125,-2688966.75,-1738015.5,-1347724.25,-2214726.25,-1951537.25,-965218.5,-2237204.0,-1246566.875,-1743954.0,-1011155.75,-842577.5625,-533674.625,625916.5625,-452295.78125,-369181.03125,-779462.0625,-1566833.625,-577329.4375,-144135.234375,-282881.875,-759458.1875,-1353568.375,-1150774.125,167735.515625,-26102.22265625,1200733.0,-748264.75,-561784.1875,-2080309.625,-917841.125,433187.625,-114229.2734375
23,-3716759.0,-493864.0625,-631282.4375,-2010514.5,-426896.65625,-321957.75,1761617.5,-427152.0,-389742.84375,-656401.8125,-401161.0,-449990.15625,-472141.0,-1218443.5,-670118.5625,426169.125,-3217792.5,-190156.515625,462640.03125,-1318408.5,729299.1875,14638.9677734375,-977544.5,-632747.1875,1610218.125,51194.1171875,342040.84375,614073.5,-949352.25,-1118452.375,127388.4921875,253622.75,-1160830.625,-193319.796875,-816453.5625,1284121.5,-523918.1875,-159931.53125,3386134.5,67121.546875
24,-3725962.25,-757.326171875,-913915.8125,-2581711.25,-423621.34375,-413535.96875,884244.6875,-543877.375,-1022464.0,-784129.625,-429450.0,-438530.40625,-2287284.25,-835258.3125,97107.5859375,514190.75,-3528652.25,-223157.1875,269466.28125,-826326.6875,-689692.75,-457667.9375,-888756.5625,-580341.625,-105305.1328125,-805764.875,210659.71875,-26310.5703125,-818023.0625,-189307.234375,-8708.69140625,8278.9833984375,-316665.65625,-1968651.5,-546709.375,529952.0625,-269762.8125,-5053.939453125,686003.625,166911.21875
25,-5148859.5,522518.25,-467950.75,-3779136.0,-1038831.5,371220.34375,2026084.875,593058.8125,-1473341.375,-303872.21875,332149.34375,657505.625,-2451483.25,-633693.5625,-300568.34375,3066193.75,-5842704.0,1139433.375,2366357.0,-1166055.0,1854312.0,-1249355.75,-1395996.625,-124131.015625,-1933160.25,-2157851.25,2191619.5,1595257.375,-940912.3125,-2490504.75,-1223560.0,1239794.75,656214.25,-1974907.875,-2005159.25,2559102.5,-875870.1875,1235801.375,8011126.5,1512290.125
