0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
10,-70373.5859375,680017.375,366942.9375,100179.5078125,619306.75,196343.53125,376011.3125,205356.328125,-222925.875,368998.09375,622244.8125,325616.5,134691.890625,265572.84375,110443.6796875,898188.5,-311391.8125,543057.0625,487050.78125,81583.4375,108182.9765625,2506123.75,201279.734375,36047.10546875,-137559.40625,360242.53125,357192.65625,460030.90625,127635.046875,208164.84375,239059.21875,259258.28125,173157.625,29834.720703125,17504.53515625,149039.4375,-51532.14453125,994693.25,-615915.75,291870.09375,-364075.28125,-239047.0,174769.953125,396281.4375,-120700.125,1267.412109375,354825.375,96784.546875,-21833.072265625,-376112.21875,66927.046875,224997.21875,154891.671875,24330.498046875,-230985.359375,192751.765625,253272.28125,16336.3291015625,263743.1875,176633.359375,-68719.1484375,612490.625,128870.015625,-26886.029296875,115181.0,-287896.65625,237204.65625,-138598.9375,180087.65625,-128702.25,-210144.875,-280102.40625,96554.1875,337789.6875,32235.48828125,-88416.6484375,138887.40625,185800.796875,108776.890625,333727.96875
11,-1145645.125,-111176.3359375,-86251.96875,-462404.3125,195070.5625,-64289.45703125,143902.6875,-102039.375,-90383.5390625,141872.625,-279297.1875,-499993.8125,-301891.90625,-396767.3125,-200455.34375,-129140.859375,-1765654.375,-251504.4375,-121964.9921875,-635882.625,-146366.890625,793585.75,45710.2109375,-141930.4375,-265470.28125,156685.28125,92287.28125,-189910.875,-65125.828125,-372360.3125,79522.7421875,81946.71875,161354.96875,-188159.09375,38848.328125,10769.7060546875,-300537.75,306552.84375,223029.46875,2562.626953125,52493.7421875,-139472.953125,159705.921875,44426.0546875,139049.515625,-104252.34375,108942.9140625,-139369.359375,-363.4769592285156,72350.0625,-186309.21875,365055.5,-96712.671875,-148917.4375,-142842.46875,35357.515625,202963.84375,78636.1640625,-85856.6953125,388344.46875,-76311.2890625,327544.28125,-212900.75,-92653.90625,-145817.9375,6037.66748046875,-111475.890625,185843.59375,285167.8125,11339.4765625,14242.376953125,349358.0625,-159837.03125,-74894.265625,162131.28125,-76064.6171875,-49214.74609375,152970.625,-23947.2890625,99947.4140625
12,419564.28125,905691.1875,151025.671875,625708.6875,601120.375,691297.6875,-79252.1875,639174.25,93683.8125,495527.75,740053.0,61884.0078125,444200.0,302630.75,476621.75,1526678.0,200101.4375,646451.6875,1637980.0,390841.5,530987.8125,-4871805.5,-310509.65625,-531270.6875,-193857.59375,285904.40625,1046706.5625,451067.53125,364519.84375,34.6767578125,289883.03125,175691.890625,-65397.09765625,219635.015625,14672.244140625,765986.25,-105952.8515625,622700.125,130136.90625,593951.125,-94980.4765625,19519.16796875,175589.28125,307115.75,183637.984375,275421.09375,696250.6875,234314.3125,638206.6875,183588.859375,70072.2578125,888150.3125,433040.53125,624540.6875,160180.96875,107902.9453125,560247.875,-116523.2578125,445944.53125,757115.9375,-343675.34375,1680914.0,-588397.125,243551.75,-587217.625,-326932.84375,-249085.28125,80729.1796875,-108764.5703125,133347.5625,236968.078125,552550.6875,-100369.015625,455729.65625,-160493.140625,-319630.375,244986.265625,735673.25,456954.8125,709222.5
13,-252050.859375,638371.625,215671.484375,257621.65625,376081.03125,428067.96875,99074.5,288446.28125,399333.34375,68868.21875,236923.28125,-118402.453125,-43689.15234375,-74980.125,263509.96875,864434.125,-327058.90625,426257.5625,954888.375,-232765.890625,-3684.0166015625,-508676.03125,26573.6640625,-382537.15625,-158594.390625,303641.75,466719.25,344799.1875,175465.40625,-152892.1875,208658.46875,253701.1875,59737.140625,108556.0546875,-104335.7265625,352144.5,-395664.25,543344.125,210668.0,282093.96875,42770.1328125,-176302.734375,45118.99609375,166668.421875,67640.671875,109057.453125,417397.46875,35350.47265625,383041.34375,164490.375,-19742.94921875,655191.5625,162748.75,272887.59375,-17119.01953125,28409.23828125,353163.84375,25907.76171875,222387.6875,511863.3125,-226929.640625,837361.75,-272615.53125,74646.4375,-212762.125,-85989.9140625,-72704.765625,204661.46875,163546.953125,-64352.54296875,106975.984375,344826.90625,37405.4296875,71795.2421875,44820.41015625,-220238.734375,133908.21875,375633.4375,338555.0625,426107.59375
14,-524119.0,339321.1875,263138.34375,55872.359375,-63399.734375,160433.140625,263764.75,39654.03125,-16651.0078125,177703.0625,88247.359375,-377920.21875,-287437.6875,-48143.95703125,7682.25830078125,593439.6875,-601925.0,153117.296875,348744.0625,-236373.484375,5382.0439453125,-595172.8125,168435.546875,-206802.53125,-92082.9609375,211714.640625,269741.25,107124.921875,123363.5625,-176342.75,102866.71875,255688.1875,95669.1953125,-10146.8251953125,14674.9599609375,180459.875,-162726.375,536007.5,175368.765625,208142.234375,-17899.61328125,-145812.9375,96220.1796875,291729.3125,132753.859375,16255.142578125,350783.375,130575.53125,101156.5859375,-849.7451171875,-71540.4140625,334172.03125,4287.994140625,59399.82421875,8552.7958984375,131638.96875,232725.21875,33892.58203125,164450.21875,393998.75,-164904.859375,561641.5625,-76599.09375,58403.9453125,-68677.109375,-30460.767578125,11951.623046875,125764.1875,226652.609375,74689.0234375,-4597.58544921875,289624.5625,466.4833984375,23122.92578125,253255.5,-29783.74609375,18755.349609375,328351.8125,62675.15234375,296418.96875
15,307620.1875,1207950.25,677544.0,478711.71875,884341.125,866865.1875,319012.96875,782841.9375,335538.9375,578671.8125,1011175.5625,1010.0849609375,363536.875,289039.96875,506201.21875,1900265.25,56468.3125,1017060.6875,1857207.75,-19505.349609375,363679.84375,-5239232.5,-173159.59375,-692171.125,-313901.59375,429679.65625,1064226.5,776315.5625,379445.5625,-69881.640625,281949.53125,305751.875,198856.375,115239.8125,-96889.828125,748074.9375,-237891.609375,1212969.375,-269972.03125,607374.25,-196919.703125,-342513.59375,247506.09375,522038.15625,145910.671875,262741.6875,919805.8125,254760.53125,436494.5625,-6371.6552734375,35823.0546875,1108065.75,350225.09375,471148.0,77084.546875,260415.75,779232.3125,-82303.7734375,684012.6875,958042.5625,-409934.75,1708770.0,-439521.375,240464.96875,-403567.53125,-411141.5,-62942.51953125,258994.0,174050.25,164328.640625,219930.359375,364084.8125,91623.3203125,592289.875,-15643.025390625,-253856.0625,294080.15625,767108.125,603055.8125,812446.9375
16,-456517.59375,233241.515625,115295.8125,-154768.34375,-57782.65234375,148393.5,-16062.0625,-105813.109375,-325834.625,405897.875,-246990.09375,-175707.875,-508246.53125,-258015.84375,-65621.578125,447125.0625,-582907.4375,52283.0703125,285900.40625,-181442.703125,-198846.578125,1489767.75,143518.46875,-281110.5625,-158695.734375,115816.625,159223.546875,-4059.12109375,-69102.796875,-327576.09375,249199.09375,144861.734375,-35988.4140625,66937.8359375,17966.5,100719.03125,-387769.125,157468.96875,416513.1875,96279.4765625,181431.40625,-49289.38671875,-82777.2265625,11482.6171875,113031.4609375,36953.7265625,176727.625,-90017.1953125,130398.40625,188003.0625,-292543.1875,352501.09375,-30321.080078125,11110.9052734375,-17624.8984375,-290.939453125,137830.5625,70032.875,-14232.3544921875,304734.0625,-78005.46875,439858.53125,-122881.0625,105150.8515625,-187604.140625,115754.765625,-28111.125,12135.4208984375,147418.15625,91100.96875,11516.9521484375,323398.875,57609.7578125,-116195.90625,92508.71875,-291418.84375,8590.71875,190981.890625,5463.4033203125,177492.703125
17,-546284.1875,181705.234375,130670.7734375,-19765.869140625,107926.578125,13485.470703125,166757.265625,-38952.6875,-506143.125,104646.7890625,-274235.625,-165904.484375,-535094.25,-64566.96484375,-192736.171875,241396.421875,-407772.78125,94446.671875,99155.4140625,-133042.6875,-46546.5078125,5073557.5,-7798.40869140625,-114210.7421875,-9542.166015625,111843.8828125,51048.09765625,40937.6875,96546.171875,-322452.90625,102685.8515625,79452.0078125,38814.76953125,39060.81640625,-23164.3828125,61763.58984375,-265596.1875,222470.1875,234086.421875,61063.9453125,-25264.90625,7267.578125,21507.947265625,7626.798828125,60125.0546875,41283.09375,58484.828125,-23444.33984375,223199.71875,61195.9375,-182582.53125,280981.53125,1519.41259765625,-33205.03125,-34879.25,38627.87890625,169421.546875,15569.564453125,37556.5,169238.640625,84630.4453125,417698.625,-76348.15625,16009.0517578125,-60373.2265625,134142.671875,91075.65625,65624.2734375,245502.5625,56884.36328125,-3901.130859375,349796.75,-29033.91796875,-205443.9375,98669.765625,-195137.890625,45006.5625,178512.515625,-40395.3046875,-29866.134765625
18,-618314.4375,-202626.421875,-79806.6796875,-45098.171875,-263606.5625,-523948.84375,64562.84765625,-476887.59375,-609507.9375,19604.6640625,-421383.96875,-150844.0625,-507397.15625,-272550.34375,-558636.1875,-224220.953125,-500468.5625,-289209.0,-454485.0,220567.359375,-384760.5625,4257698.0,332263.125,-18798.525390625,86797.7734375,-135614.078125,-255421.03125,-60657.203125,-118691.390625,-280850.1875,168319.71875,-34553.79296875,285652.03125,27434.421875,60473.8046875,6683.671875,-531743.4375,-1224.7030029296875,10727.7880859375,-104786.8046875,-35210.4140625,-5078.7939453125,-19422.796875,-92990.234375,-19278.814453125,-133910.84375,-126783.90625,-140461.859375,-197977.65625,106107.8984375,-215175.5,51144.875,107437.0703125,-286099.03125,-237056.359375,-115511.625,-181675.546875,-4297.255859375,-227529.65625,-170470.5625,-42284.6328125,-305793.0,287256.53125,-117152.7890625,-38730.3046875,153523.515625,232507.34375,49751.5859375,-26255.125,-169465.546875,-118087.921875,-178377.21875,55767.390625,-228794.171875,-121052.4609375,-224794.59375,24975.3125,-118866.140625,-126143.1875,-134730.9375
19,-431487.9375,336338.15625,75896.453125,-121573.1953125,-54373.8203125,117025.078125,188775.8125,18111.671875,-365106.1875,123926.34375,21195.19921875,-155259.359375,-133064.765625,-191122.046875,-81905.2265625,277591.40625,-414620.28125,128126.609375,242141.546875,-47486.3984375,-4866.65625,-299607.71875,90249.6171875,-187744.671875,-125101.5078125,206784.84375,179440.921875,157027.4375,60822.91015625,-27792.453125,129105.03125,98488.1328125,-99117.5546875,12212.751953125,46518.8984375,162511.65625,-147887.96875,234899.171875,-21112.6875,-25409.66796875,97520.1796875,-98009.2890625,67769.40625,117182.7890625,-63667.51953125,153800.515625,248302.53125,111097.28125,147051.21875,-71017.484375,-86849.5703125,72165.84375,-22020.4375,-48356.43359375,43139.078125,26942.60546875,140401.0,10855.900390625,237409.421875,199487.28125,2679.25830078125,323724.0625,27361.69921875,34998.42578125,-137426.0625,89378.28125,45883.66015625,-74774.515625,94331.3359375,114597.5234375,-77272.4296875,-66953.3046875,63327.78515625,-45236.9296875,150989.296875,-60794.4140625,129724.3984375,79667.0234375,108517.6640625,154025.015625
